painter,painterLabel,date_of_birth,image,place_of_birth,place_of_birthLabel,movement,movementLabel,lon,lat,latlon,annee,mois,heure
http://www.wikidata.org/entity/Q118810,Marie-Guillemine Benoist,1768-12-18T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Guillemine%20Benoist%20-%20Self-portrait%2C%201786.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,2.352222222,48.85666667,"48.856666666,2.352222222",1768,12,18T00:00:00Z
http://www.wikidata.org/entity/Q213163,Élisabeth Louise Vigée Le Brun,1755-04-16T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89lisabeth%20Vig%C3%A9e-Lebrun%20-%20selfportrait%20%28Kimbell%20Art%20Museum%2C%201781-2%29.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,2.352222222,48.85666667,"48.856666666,2.352222222",1755,4,16T00:00:00Z
http://www.wikidata.org/entity/Q216999,Antoine-Jean Gros,1771-03-16T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Gros%20Portrait%20%C3%A0%20l%27%C3%A2ge%20de%20vingt%20ans%20%28RO%20109%29.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,2.352222222,48.85666667,"48.856666666,2.352222222",1771,3,16T00:00:00Z
http://www.wikidata.org/entity/Q245624,Merry-Joseph Blondel,1781-07-25T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Self-portrait%2C%201817%20-%20Merry-Joseph%20Blondel.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,2.352222222,48.85666667,"48.856666666,2.352222222",1781,7,25T00:00:00Z
http://www.wikidata.org/entity/Q281998,Jean-Baptiste Debret,1768-04-18T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Jeanbaptistedebret.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,2.352222222,48.85666667,"48.856666666,2.352222222",1768,4,18T00:00:00Z
http://www.wikidata.org/entity/Q362704,Pierre-Narcisse Guérin,1774-03-13T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Lef%C3%A8vre%2C%20Robert%20-%20Pierre%20Narcisse%20Gu%C3%A9rin.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,2.352222222,48.85666667,"48.856666666,2.352222222",1774,3,13T00:00:00Z
http://www.wikidata.org/entity/Q453485,Jean-Baptiste Regnault,1754-10-09T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Self%20portrait%20by%20Jean-Baptiste%20Regnault.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,2.352222222,48.85666667,"48.856666666,2.352222222",1754,10,09T00:00:00Z
http://www.wikidata.org/entity/Q718975,François-André Vincent,1746-12-30T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Ad%C3%A9laide%20Labille-Guiard%20001.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,2.352222222,48.85666667,"48.856666666,2.352222222",1746,12,30T00:00:00Z
http://www.wikidata.org/entity/Q944962,Achille Etna Michallon,1796-10-22T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Achille%20Etna%20Michallon.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,2.352222222,48.85666667,"48.856666666,2.352222222",1796,10,22T00:00:00Z
http://www.wikidata.org/entity/Q979783,Charles Thévenin,1764-07-12T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Th%C3%A9venin%20-%20Portrait%20par%20Ingres.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,2.352222222,48.85666667,"48.856666666,2.352222222",1764,7,12T00:00:00Z
